base,lado,puzzle,seed,vazias,celulas,origem,sha256
2,4,sudoku1,,8,16,existente_preservado,314158ec07e20322054e35c98ab48be2effcb2b6214221fe2d297230ecb20a07
2,4,sudoku2,,8,16,existente_preservado,8a2150dd355cdbe853cd709c187775d18164295961c9a308405fcfc4fb8324bb
2,4,sudoku3,,8,16,existente_preservado,cef1a9e3925c517de036f083ff67b7a247b2a8822ab6b12b9562e6bd0a75ccf6
2,4,sudoku4,2026090204,8,16,gerado,1c04cdc25d2a51c7d8efb1b0332d0dcd1b04bf97f7ce9beaf8b4e694682fe0a5
2,4,sudoku5,2026090205,8,16,gerado,4d41441a5e9d3522d156de38c35edf9c2821c81610479d6e729476287bd3c189
3,9,sudoku1,,41,81,existente_preservado,e2fca241a9e7b5beb146ca68902fa5545e9746a8f60bfdc73eeb04cf6f6c81f9
3,9,sudoku2,,41,81,existente_preservado,64517c670f0afde27ae19baa440657373d60772830eb8020ed289b1c538516e8
3,9,sudoku3,,41,81,existente_preservado,c06e6271c03e736d41ba1dfb9483c611064815002d48f76ac2ec8ecd70ed3da9
3,9,sudoku4,2026090304,41,81,gerado,b5f96d6e4c5fb348708a42f959279a237c9c045b2a2ce1489b3c49fd97f980ec
3,9,sudoku5,2026090305,41,81,gerado,713aada34dff1b195f1dee1838b319cde7005c9077c8debed1b556e0432c4cf2
4,16,sudoku1,,128,256,existente_preservado,e7a451f669a086e7c75392237e3d8c7e255377ceeb1fa20622cd8351f0e204be
4,16,sudoku2,,128,256,existente_preservado,167738077244b259b0edf1dff6e05ee865c6a2d17d9d6368d63dc888ec7a9720
4,16,sudoku3,,128,256,existente_preservado,3c2128f2a7d8bbbc43b433a637955184093f8740c3f5a9a1b865787cb1f5618e
4,16,sudoku4,2026090404,128,256,gerado,6c68741ac4b73f22ce703a5a9a98be9779e13aa8f2580a659bff1d3678324336
4,16,sudoku5,2026090405,128,256,gerado,b03a46cc9531eeb5a844d5ee700b524fd2398aac822171555208466883530f6c
5,25,sudoku1,,313,625,existente_preservado,221fa573808c5bebf981f45904e9ac3e700cdd795841e187a593e98c9276e6a6
5,25,sudoku2,,313,625,existente_preservado,1ab84e1012d0504333576cd46d10de4977d09a9eb7c1348605b91782b22c65df
5,25,sudoku3,,313,625,existente_preservado,359dc7243107d7a3aa6f7988c55080fc9fb96d9fd0a1b35510f6c90231f853d8
5,25,sudoku4,2026090504,313,625,gerado,f8f19fab6af7c2627caee7ee1d0794f43dc01765cc83b208f8dace0ee59605b6
5,25,sudoku5,2026090505,313,625,gerado,c4cd0c45242bfe0cfe9c5542f0bce8f859ea92b0331186d048bbbd912f9a0484
6,36,sudoku1,2026090601,648,1296,gerado,92f0f6c1677502237fa179b5ec1bd0ba58cc83139105b73cbbb7ca2730e756a5
6,36,sudoku2,2026090602,648,1296,gerado,6d929b1d693c7e23a6b89a8521758d0789919bb7c1cc97a0f1ca69afd9bc24d8
6,36,sudoku3,2026090603,648,1296,gerado,38ee9cdb8a9837ae27933681be2c36fd600b179c2fe59caa454f4478fdf69aef
6,36,sudoku4,2026090604,648,1296,gerado,dabed67c0b55bc07ad624bfbb89ca58f7875f24829c31b5c1c4425ebbfd2e71a
6,36,sudoku5,2026090605,648,1296,gerado,af73da956955b3f126d938d50f66e373b5a5653133700938365145853a1e8c21
7,49,sudoku1,2026090701,1201,2401,gerado,2eeea7192cf6a4e8862e4a3955041b132952f707b2c7b98d69f3cfa078a46434
7,49,sudoku2,2026090702,1201,2401,gerado,68567120a3a19d982aa83572d7c82683b4cc232afcc8cfdccbaaccda6f1240b7
7,49,sudoku3,2026090703,1201,2401,gerado,7e3b0ac47a04f8fc6d7394197ed10eca450b91647df6ab00c82335f067276362
7,49,sudoku4,2026090704,1201,2401,gerado,1f97fd4759f6a1aeb294c4243e3ab8ad3ceaa241cdb2feea9bbce747c337c051
7,49,sudoku5,2026090705,1201,2401,gerado,385424956f6be369b9b5b685bce5a1af895b79df677bf494009e074337250b53
