base,lado,celulas,puzzle,algoritmo,repeticao,tempo_us,tempo_ms,recursive_calls,guesses,backtracks,singles,tuples,status
2,4,16,sudoku1,backtracking,1,12.900000,0.012900,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,2,8.600000,0.008600,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,3,5.900000,0.005900,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,4,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,5,5.400000,0.005400,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,6,5.500000,0.005500,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,7,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,8,5.400000,0.005400,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,9,5.400000,0.005400,9,8,0,0,0,solved
2,4,16,sudoku1,backtracking,10,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku1,rule_based,1,2.600000,0.002600,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,2,1.400000,0.001400,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,3,1.200000,0.001200,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,4,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,5,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,6,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,7,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,8,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,9,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku1,rule_based,10,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,backtracking,1,7.500000,0.007500,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,2,5.600000,0.005600,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,3,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,4,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,5,5.200000,0.005200,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,6,5.200000,0.005200,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,7,5.100000,0.005100,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,8,5.100000,0.005100,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,9,5.300000,0.005300,9,8,0,0,0,solved
2,4,16,sudoku2,backtracking,10,5.200000,0.005200,9,8,0,0,0,solved
2,4,16,sudoku2,rule_based,1,1.900000,0.001900,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,2,1.300000,0.001300,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,3,1.200000,0.001200,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,4,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,5,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,6,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,7,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,8,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,9,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku2,rule_based,10,1.100000,0.001100,1,0,0,8,0,solved
2,4,16,sudoku3,backtracking,1,7.900000,0.007900,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,2,5.900000,0.005900,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,3,5.500000,0.005500,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,4,5.500000,0.005500,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,5,5.600000,0.005600,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,6,5.500000,0.005500,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,7,5.400000,0.005400,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,8,5.500000,0.005500,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,9,5.700000,0.005700,9,8,0,0,0,solved
2,4,16,sudoku3,backtracking,10,5.400000,0.005400,9,8,0,0,0,solved
2,4,16,sudoku3,rule_based,1,20.700000,0.020700,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,2,15.300000,0.015300,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,3,14.700000,0.014700,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,4,14.700000,0.014700,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,5,14.400000,0.014400,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,6,14.400000,0.014400,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,7,14.600000,0.014600,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,8,14.600000,0.014600,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,9,14.400000,0.014400,3,2,0,6,0,solved
2,4,16,sudoku3,rule_based,10,14.500000,0.014500,3,2,0,6,0,solved
3,9,81,sudoku1,backtracking,1,123.900000,0.123900,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,2,109.100000,0.109100,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,3,105.700000,0.105700,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,4,79.700000,0.079700,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,5,79.500000,0.079500,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,6,82.000000,0.082000,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,7,66.600000,0.066600,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,8,81.800000,0.081800,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,9,79.800000,0.079800,42,41,0,0,0,solved
3,9,81,sudoku1,backtracking,10,79.000000,0.079000,42,41,0,0,0,solved
3,9,81,sudoku1,rule_based,1,217.800000,0.217800,5,4,0,37,6,solved
